Symbol,Name,ISIN,Series,yfinance_symbol,Symbol_NSE,Symbol_BSE,BSE_Code
A2ZINFRA,A2Z INFRA ENGINEERING LTD,INE619I01012,BE,A2ZINFRA.NS,A2ZINFRA,A2ZINFRA,533292.0
AAATECH,AAA TECHNOLOGIES LIMITED,INE0D0U01013,BE,AAATECH.NS,AAATECH,AAATECH,543671.0
AADHARHFC,AADHAR HOUSING FINANCE L,INE883F01010,BE,AADHARHFC.NS,AADHARHFC,AADHARHFC,544176.0
AAKAAR,AAKAAR MEDICAL TECHNO LTD,INE1GYP01013,SM,AAKAAR.NS,AAKAAR,,
AAKASH,AAKASH EXPLORATION SER L,INE087Z01016,SM,AAKASH.NS,AAKASH,,
AAKASH,AAKASH EXPLORATION SER L,INE087Z01024,BE,AAKASH.NS,AAKASH,,
AARADHYA,AARADHYA DISPOSAL INDUS L,INE124401014,SM,AARADHYA.NS,AARADHYA,,
AAREYDRUGS,AAREY DRUGS & PHARM LTD,INE198H01019,BE,AAREYDRUGS.NS,AAREYDRUGS,AAREYDRUGS,524412.0
AARON,AARON INDUSTRIES LIMITED,INE721Z01010,BE,AARON.NS,AARON,,
AARTECH,AARTECH SOLONICS LIMITED,INE01C001026,BE,AARTECH.NS,AARTECH,AARTECH,542580.0
AARTIDRUGS,AARTI DRUGS  LTD.,INE767A01016,BE,AARTIDRUGS.NS,AARTIDRUGS,AARTIDRUGS,524348.0
AARTIIND,AARTI INDUSTRIES LTD.,INE769A01020,BE,AARTIIND.NS,AARTIIND,AARTIIND,524208.0
AARTIPHARM,AARTI PHARMALABS LIMITED,INE0LRU01027,BE,AARTIPHARM.NS,AARTIPHARM,AARTIPHARM,543748.0
AARTISURF,AARTI SURFACTANTS LIMITED,INE09EO01013,BE,AARTISURF.NS,AARTISURF,AARTISURF,543210.0
AARVEEDEN,AARVEE DEN. & EXP. LTD,INE273D01019,BE,AARVEEDEN.NS,AARVEEDEN,AARVEEDEN,514274.0
AARVI,AARVI ENCON LIMITED,INE754X01016,BE,AARVI.NS,AARVI,,
AATMAJ,AATMAJ HEALTHCARE LIMITED,INE0OB201016,SM,AATMAJ.NS,AATMAJ,,
AAVAS,AAVAS FINANCIERS LIMITED,INE216P01012,BE,AAVAS.NS,AAVAS,AAVAS,541988.0
ABAN,ABAN OFFSHORE LTD.,INE421A01028,BE,ABAN.NS,ABAN,ABAN,523204.0
ABB,ABB INDIA LIMITED,INE117A01022,BE,ABB.NS,ABB,ABB,500002.0
ABBOTINDIA,ABBOTT INDIA LIMITED,INE358A01014,BE,ABBOTINDIA.NS,ABBOTINDIA,ABBOTINDIA,500488.0
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,INE674K01013,BE,ABCAPITAL.NS,ABCAPITAL,ABCAPITAL,540691.0
ABCOTS,A B COTSPIN INDIA LIMITED,INE08PH01015,BE,ABCOTS.NS,ABCOTS,ABCOTS,544522.0
ABDL,ALLIED BLEND N DISTILS L,INE552Z01027,BE,ABDL.NS,ABDL,ABDL,544203.0
ABFRL,ADITYA BIRLA FASHION & RT,INE647O01011,BE,ABFRL.NS,ABFRL,ABFRL,535755.0
ABGSEC,BIRLASLAMC - ABGSEC,INF209KC1134,EQ,ABGSEC.NS,ABGSEC,,
ABHAPOWER,ABHA POWER N STEEL LTD,INE0UYG01015,SM,ABHAPOWER.NS,ABHAPOWER,,
ABHISHEK,ABHISHEK CORPORATION LTD,INE004I01017,BE,ABHISHEK.NS,ABHISHEK,,
ABIN-RE1,A B INFRABUILD LTD,INE00YB20025,BE,ABIN-RE1.NS,ABIN-RE1,,
ABINFRA,A B INFRABUILD LIMITED,INE00YB01017,BE,ABINFRA.NS,ABINFRA,ABINFRA,544281.0
ABLBL,ADITYA BIRLA LIFES BRAN L,INE14LE01019,BE,ABLBL.NS,ABLBL,ABLBL,544403.0
ABMINTLLTD,ABM INTERNATIONAL LTD,INE251C01025,BE,ABMINTLLTD.NS,ABMINTLLTD,,
ABMINTLTD,ABM INTERNATIONAL LTD,INE251C01017,BE,ABMINTLTD.NS,ABMINTLTD,,
ABREL,ADITYA BIRLA REAL EST LTD,INE055A01016,BE,ABREL.NS,ABREL,ABREL,500040.0
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,INE404A01024,BE,ABSLAMC.NS,ABSLAMC,ABSLAMC,543374.0
ABSLBANETF,BIRLASLAMC - ABSLBANETF,INF209KB17D5,EQ,ABSLBANETF.NS,ABSLBANETF,ABSLBANETF,542863.0
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,INF209KB18T9,EQ,ABSLLIQUID.NS,ABSLLIQUID,,
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,INF209KB16D7,EQ,ABSLNN50ET.NS,ABSLNN50ET,ABSLNN50ET,542230.0
ABSLPSE,BIRLASLAMC-ABSLPSE,INF209KB19Z4,EQ,ABSLPSE.NS,ABSLPSE,ABSLPSE,544218.0
ABSMARINE,ABS MARINE SERVICES LTD,INE0QRV01016,SM,ABSMARINE.NS,ABSMARINE,,
ACC,ACC LIMITED,INE012A01025,BE,ACC.NS,ACC,ACC,500410.0
ACCELYA,ACCELYA SOLN INDIA LTD,INE793A01012,BE,ACCELYA.NS,ACCELYA,ACCELYA,532268.0
ACCENTMIC,ACCENT MICROCELL LIMITED,INE0Q5D01013,SM,ACCENTMIC.NS,ACCENTMIC,,
ACCORD,ACCORD SYNERGY LIMITED,INE113X01015,SM,ACCORD.NS,ACCORD,,
ACCPL,ACCRETION PHARMA LIMITED,INE0T8T01010,SM,ACCPL.NS,ACCPL,,
ACCURACY,ACCURACY SHIPPING LIMITED,INE648Z01015,SM,ACCURACY.NS,ACCURACY,,
ACCURACY,ACCURACY SHIPPING LIMITED,INE648Z01023,BE,ACCURACY.NS,ACCURACY,,
ACE,ACTION CONST EQUIP LTD,INE731H01025,BE,ACE.NS,ACE,ACE,532762.0
ACEINTEG,ACE INTEGRATED SOLU. LTD.,INE543V01017,BE,ACEINTEG.NS,ACEINTEG,,
ACELAB,A C E LABORATORIES LTD,INE522901011,EQ,ACELAB.NS,ACELAB,,
ACI,ARCHEAN CHEMICAL IND LTD,INE128X01021,BE,ACI.NS,ACI,ACI,543657.0
ACL,ANDHRA CEMENTS LIMITED,INE666E01020,BE,ACL.NS,ACL,ACL,532141.0
ACLGATI,ALLCARGO GATI LIMITED,INE152B01027,BE,ACLGATI.NS,ACLGATI,ACLGATI,532345.0
ACMESOLAR,ACME SOLAR HOLDINGS LTD,INE622W01025,BE,ACMESOLAR.NS,ACMESOLAR,ACMESOLAR,544283.0
ACTIVEINFR,ACTIVE INFRASTRUCTURES L,INE0KLO01025,SM,ACTIVEINFR.NS,ACTIVEINFR,,
ACUTAAS,ACUTAAS CHEMICALS LIMITED,INE00FF01025,BE,ACUTAAS.NS,ACUTAAS,ACUTAAS,543349.0
ADANIENSOL,ADANI ENERGY SOLUTION LTD,INE931S01010,BE,ADANIENSOL.NS,ADANIENSOL,ADANIENSOL,539254.0
ADANIENT,ADANI ENTERPRISES LIMITED,INE423A01024,BE,ADANIENT.NS,ADANIENT,ADANIENT,512599.0
ADANIGREEN,ADANI GREEN ENERGY LTD,INE364U01010,BE,ADANIGREEN.NS,ADANIGREEN,ADANIGREEN,541450.0
ADANIPORTS,ADANI PORT & SEZ LTD,INE742F01042,BE,ADANIPORTS.NS,ADANIPORTS,ADANIPORTS,532921.0
ADANIPOWER,ADANI POWER LTD,INE814H01029,BE,ADANIPOWER.NS,ADANIPOWER,ADANIPOWER,533096.0
ADARSHCHEM,ADARSH CHEMICALS & FERT.,INE442501016,EQ,ADARSHCHEM.NS,ADARSHCHEM,,
ADFFOODS,ADF FOODS LIMITED,INE982B01027,BE,ADFFOODS.NS,ADFFOODS,ADFFOODS,519183.0
ADHUNIK,ADHUNIK METALIKS LTD.,INE400H01019,BE,ADHUNIK.NS,ADHUNIK,,
ADITYASPIN,ADITYA SPINNERS LTD,INE442601014,EQ,ADITYASPIN.NS,ADITYASPIN,,
ADL,ARCHIDPLY DECOR LIMITED,INE0CHO01012,BE,ADL.NS,ADL,,
ADOR,ADOR WELDING LTD,INE045A01017,BE,ADOR.NS,ADOR,ADOR,517041.0
ADROITINFO,ADROIT INFOTECH LIMITED,INE737B01033,BE,ADROITINFO.NS,ADROITINFO,ADROITINFO,532172.0
ADSL,ALLIED DIGITAL SERV. LTD,INE102I01027,BE,ADSL.NS,ADSL,ADSL,532875.0
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,INE199C01026,BE,ADVANIHOTR.NS,ADVANIHOTR,ADVANIHOTR,523269.0
ADVENZYMES,ADVANCED ENZYME TECH LTD,INE837H01020,BE,ADVENZYMES.NS,ADVENZYMES,ADVENZYMES,540025.0
AEC,AEC (I) LTD.,INE441901019,EQ,AEC.NS,AEC,,
AEGISLOG,AEGIS LOGISTICS LIMITED,INE208C01025,BE,AEGISLOG.NS,AEGISLOG,AEGISLOG,500003.0
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,INE0INX01018,BE,AEGISVOPAK.NS,AEGISVOPAK,AEGISVOPAK,544407.0
AEROENTER,AEROFLEX ENTERPRISES LTD,INE065D01027,BE,AEROENTER.NS,AEROENTER,AEROENTER,511076.0
AEROFLEX,AEROFLEX INDUSTRIES LTD,INE024001021,BE,AEROFLEX.NS,AEROFLEX,AEROFLEX,543972.0
AERON,AERON COMPOSITE LIMITED,INE0WL801011,SM,AERON.NS,AERON,,
AERONEU,AEROFLEX NEU LIMITED,INE035801013,BE,AERONEU.NS,AERONEU,AERONEU,543743.0
AESTHETIK,AESTHETIK ENGINEERS LTD,INE0TSF01011,SM,AESTHETIK.NS,AESTHETIK,,
AETHER,AETHER INDUSTRIES LIMITED,INE0BWX01014,BE,AETHER.NS,AETHER,AETHER,543534.0
AFCONS,AFCONS INFRASTRUCTURE LTD,INE101I01011,BE,AFCONS.NS,AFCONS,AFCONS,544280.0
AFFLE,AFFLE 3I LIMITED,INE00WC01027,BE,AFFLE.NS,AFFLE,AFFLE,542752.0
AFFORDABLE,AFFORD ROBO & AUTO LTD,INE692Z01013,BE,AFFORDABLE.NS,AFFORDABLE,AFFORDABLE,541402.0
AFIL,AKME FINTRADE (INDIA) LTD,INE916Y01027,BE,AFIL.NS,AFIL,AFIL,544200.0
AFSL,ABANS FINANCIAL SRVCS LTD,INE00ZE01026,BE,AFSL.NS,AFSL,AFSL,543712.0
AGARIND,AGARWAL INDS CORP LTD.,INE204E01012,BE,AGARIND.NS,AGARIND,AGARIND,531921.0
AGARWALEYE,DR AGARWALS HEALTH CARE L,INE943P01029,BE,AGARWALEYE.NS,AGARWALEYE,AGARWALEYE,544350.0
AGARWALFT,AGARWAL FLOAT GLASS I LTD,INE0MLA01012,SM,AGARWALFT.NS,AGARWALFT,,
AGARWALTUF,AGARWAL TOUGH GLASS IND L,INE0P8X01016,SM,AGARWALTUF.NS,AGARWALTUF,,
AGI,AGI GREENPAC LIMITED,INE415A01038,BE,AGI.NS,AGI,AGI,500187.0
AGIIL,AGI INFRA LIMITED,INE976R01025,BE,AGIIL.NS,AGIIL,AGIIL,539042.0
AGNI,AGNI GREEN POWER LTD,INE0LF301013,SM,AGNI.NS,AGNI,,
AGRIHATCH,AGRITECH HATCHERIED AND F,INE442901018,EQ,AGRIHATCH.NS,AGRIHATCH,,
AGRITECH,AGRI-TECH (INDIA) LIMITED,INE449G01018,BE,AGRITECH.NS,AGRITECH,AGRITECH,537292.0
AGROPHOS,AGRO PHOS INDIA LIMITED,INE740V01019,BE,AGROPHOS.NS,AGROPHOS,,
AGSTRA,AGS TRANSACT TECH LTD,INE583L01014,BE,AGSTRA.NS,AGSTRA,AGSTRA,543451.0
AGUL,A G UNIVERSAL LIMITED,INE0O6N01012,SM,AGUL.NS,AGUL,,
AHCL,ANLON HEALTHCARE LIMITED,INE0Y8W01017,BE,AHCL.NS,AHCL,AHCL,544497.0
AHIMSA,AHIMSA INDUSTRIES LTD.,INE136T01014,SM,AHIMSA.NS,AHIMSA,,
AHLADA,AHLADA ENGINEERS LIMITED,INE00PV01013,BE,AHLADA.NS,AHLADA,,
AHLEAST,ASIAN HOTELS (EAST) LTD,INE926K01017,BE,AHLEAST.NS,AHLEAST,,
AHLUCONT,AHLUWALIA CONT IND LTD,INE758C01029,BE,AHLUCONT.NS,AHLUCONT,AHLUCONT,532811.0
AHLWEST,ASIAN HOTELS (WEST) LTD,INE915K01010,BE,AHLWEST.NS,AHLWEST,,
AIAENG,AIA ENGINEERING LIMITED,INE212H01026,BE,AIAENG.NS,AIAENG,AIAENG,532683.0
AIFL,ASHAPURA INTI FASHION LTD,INE428O01016,BE,AIFL.NS,AIFL,,
AIIL,AUTHUM INVEST & INFRA LTD,INE206F01022,BE,AIIL.NS,AIIL,AIIL,539177.0
AILIMITED,ABHISHEK INTEGRATIONS LTD,INE0CAJ01017,SM,AILIMITED.NS,AILIMITED,,
AIMCOPEST,AIMCO PESTICIDES-DEPO,INE008B01013,BE,AIMCOPEST.NS,AIMCOPEST,AIMCOPEST,524288.0
AIMTRON,AIMTRON ELECTRONICS LTD,INE0RUV01018,SM,AIMTRON.NS,AIMTRON,,
AIRAN,AIRAN LIMITED,INE645W01026,BE,AIRAN.NS,AIRAN,AIRAN,543811.0
AIROLAM,AIRO LAM LIMITED,INE801L01010,BE,AIROLAM.NS,AIROLAM,,
AISL,ANI INTEGRATED SERV LTD.,INE635Y01015,SM,AISL.NS,AISL,,
AJANTPHARM,AJANTPHARM LTD,INE031B01049,BE,AJANTPHARM.NS,AJANTPHARM,AJANTPHARM,532331.0
AJAXENGG,AJAX ENGINEERING LIMITED,INE274Y01021,BE,AJAXENGG.NS,AJAXENGG,AJAXENGG,544356.0
AJMERA,AJMERA REALTY & INF I LTD,INE298G01027,BE,AJMERA.NS,AJMERA,AJMERA,513349.0
AJOONI,AJOONI BIOTECH LIMITED,INE820Y01013,SM,AJOONI.NS,AJOONI,,
AJOONI,AJOONI BIOTECH LIMITED,INE820Y01021,BE,AJOONI.NS,AJOONI,,
AJOONI-RE1,AJOONI BIOTECH LIMITED,INE820Y20021,BE,AJOONI-RE1.NS,AJOONI-RE1,,
AJRINFRA,AJR INFRA & TOLLING LTD,INE181G01025,BE,AJRINFRA.NS,AJRINFRA,,
AKAIMPEX,AKAI IMPEX LTD.,INE443401018,EQ,AKAIMPEX.NS,AKAIMPEX,,
AKANKSHA,AKANKSHA POWER N INFRA L,INE0PCY01014,SM,AKANKSHA.NS,AKANKSHA,,
AKARLAMIN,AKAR LAMINATORS LTD,INE984C01013,EQ,AKARLAMIN.NS,AKARLAMIN,,
AKARLAMIN,AKAR LAMINATORS LTD,INE443501015,BE,AKARLAMIN.NS,AKARLAMIN,,
AKASH,AKASH INFRA-PROJECTS LTD,INE737W01013,BE,AKASH.NS,AKASH,,
AKG,AKG EXIM LIMITED,INE00Y801016,BE,AKG.NS,AKG,,
AKGACOUST,AKG ACOUSTICS (I) LTD.,INE442001017,EQ,AKGACOUST.NS,AKGACOUST,,
AKI,AKI INDIA LIMITED,INE642Z01026,BE,AKI.NS,AKI,AKI,542020.0
AKIKO,AKIKO GLOBAL SERVICES L,INE0PMR01017,SM,AKIKO.NS,AKIKO,,
AKSHAR,AKSHAR SPINTEX LIMITED,INE256Z01025,BE,AKSHAR.NS,AKSHAR,AKSHAR,541303.0
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,INE542B01011,BE,AKSHARCHEM.NS,AKSHARCHEM,AKSHARCHEM,524598.0
AKSHOPTFBR,AKSH OPTIFIBRE  LTD,INE523B01011,BE,AKSHOPTFBR.NS,AKSHOPTFBR,AKSHOPTFBR,532351.0
AKUMS,AKUMS DRUGS AND PHARMA L,INE09XN01023,BE,AKUMS.NS,AKUMS,AKUMS,544222.0
AKZOINDIA,AKZO NOBEL INDIA LIMITED,INE133A01011,BE,AKZOINDIA.NS,AKZOINDIA,AKZOINDIA,500710.0
ALANKIT,ALANKIT LIMITED,INE914E01040,BE,ALANKIT.NS,ALANKIT,ALANKIT,531082.0
ALBERTDAVD,ALBERT DAVID LIMITED,INE155C01010,BE,ALBERTDAVD.NS,ALBERTDAVD,ALBERTDAVD,524075.0
ALBRMORARJ,ALBRIGHT&WILSON CHE LTD.,INE255B01010,BE,ALBRMORARJ.NS,ALBRMORARJ,,
ALCHEM,ALCHEMIST LTD,INE964B01033,BE,ALCHEM.NS,ALCHEM,,
ALEMBICLTD,ALEMBIC LIMITED,INE426A01027,BE,ALEMBICLTD.NS,ALEMBICLTD,ALEMBICLTD,506235.0
ALFREDHERB,ALFRED HERBERT (I) LTD,INE528801017,EQ,ALFREDHERB.NS,ALFREDHERB,,
ALIANCREDT,ALLIANCE CREDIT & INVEST,INE529101011,EQ,ALIANCREDT.NS,ALIANCREDT,,
ALICON,ALICON CASTALLOY LIMITED,INE062D01024,BE,ALICON.NS,ALICON,ALICON,531147.0
ALIVUS,ALIVUS LIFE SCIENCES LTD,INE03Q201024,BE,ALIVUS.NS,ALIVUS,ALIVUS,543322.0
ALKALI,ALKALI METALS LTD,INE773I01017,BE,ALKALI.NS,ALKALI,ALKALI,533029.0
ALKEM,ALKEM LABORATORIES LTD.,INE540L01014,BE,ALKEM.NS,ALKEM,ALKEM,539523.0
ALKYLAMINE,ALKYL AMINES CHEM. LTD,INE150B01039,BE,ALKYLAMINE.NS,ALKYLAMINE,ALKYLAMINE,506767.0
ALLCARGO,ALLCARGO LOGISTICS LTD,INE418H01029,BE,ALLCARGO.NS,ALLCARGO,ALLCARGO,532749.0
ALLDIGI,ALLDIGI TECH LIMITED,INE835G01018,BE,ALLDIGI.NS,ALLDIGI,ALLDIGI,532633.0
ALLETEC,ALL E TECHNOLOGIES LTD,INE0M2X01012,SM,ALLETEC.NS,ALLETEC,,
ALLTIME,ALL TIME PLASTICS LIMITED,INE0GV601021,BE,ALLTIME.NS,ALLTIME,ALLTIME,544479.0
ALMONDZ,ALMONDZ GLOBAL SEC LTD,INE326B01035,BE,ALMONDZ.NS,ALMONDZ,ALMONDZ,531400.0
ALOKINDS,ALOK INDUSTRIES LIMITED,INE270A01029,BE,ALOKINDS.NS,ALOKINDS,ALOKINDS,521070.0
