Symbol,Name,ISIN,Series,Exchange,Type,UpdatedAt
20MICRONS,20 Microns Limited,,EQ,NSE,Mainboard,2026-01-03
21STCENMGM,21st Century Management Services Limited,,EQ,NSE,Mainboard,2026-01-03
360ONE,360 ONE WAM LIMITED,,EQ,NSE,Mainboard,2026-01-03
3IINFOLTD,3i Infotech Limited,,EQ,NSE,Mainboard,2026-01-03
3MINDIA,3M India Limited,,EQ,NSE,Mainboard,2026-01-03
3PLAND,3P Land Holdings Limited,,EQ,NSE,Mainboard,2026-01-03
5PAISA,5Paisa Capital Limited,,EQ,NSE,Mainboard,2026-01-03
63MOONS,63 moons technologies limited,,EQ,NSE,Mainboard,2026-01-03
A2ZINFRA,A2Z Infra Engineering Limited,,EQ,NSE,Mainboard,2026-01-03
AAATECH,AAA Technologies Limited,,BE,NSE,Mainboard,2026-01-03
AADHARHFC,Aadhar Housing Finance Limited,,EQ,NSE,Mainboard,2026-01-03
AAKAAR,Aakaar Medical Technologies Limited,INE1GYP01013,SM,NSE,SME,2026-01-03
AAKASH,Aakash Exploration Services Limited,,EQ,NSE,Mainboard,2026-01-03
AARADHYA,Aaradhya Disposal Industries Limited,INE124401014,ST,NSE,SME,2026-01-03
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,EQ,NSE,Mainboard,2026-01-03
AARON,Aaron Industries Limited,,EQ,NSE,Mainboard,2026-01-03
AARTECH,Aartech Solonics Limited,,EQ,NSE,Mainboard,2026-01-03
AARTIDRUGS,Aarti Drugs Limited,,EQ,NSE,Mainboard,2026-01-03
AARTIIND,Aarti Industries Limited,,EQ,NSE,Mainboard,2026-01-03
AARTIPHARM,Aarti Pharmalabs Limited,,EQ,NSE,Mainboard,2026-01-03
AARTISURF,Aarti Surfactants Limited,,EQ,NSE,Mainboard,2026-01-03
AARVI,Aarvi Encon Limited,,EQ,NSE,Mainboard,2026-01-03
AATMAJ,Aatmaj Healthcare Limited,INE0OB201016,SM,NSE,SME,2026-01-03
AAVAS,Aavas Financiers Limited,,EQ,NSE,Mainboard,2026-01-03
ABAN,Aban Offshore Limited,,BE,NSE,Mainboard,2026-01-03
ABB,ABB India Limited,,EQ,NSE,Mainboard,2026-01-03
ABBOTINDIA,Abbott India Limited,,EQ,NSE,Mainboard,2026-01-03
ABCAPITAL,Aditya Birla Capital Limited,,EQ,NSE,Mainboard,2026-01-03
ABCOTS,A B Cotspin India Limited,,EQ,NSE,Mainboard,2026-01-03
ABDL,Allied Blenders and Distillers Limited,,EQ,NSE,Mainboard,2026-01-03
ABFRL,Aditya Birla Fashion and Retail Limited,,EQ,NSE,Mainboard,2026-01-03
ABHAPOWER,Abha Power and Steel Limited,INE0UYG01015,SM,NSE,SME,2026-01-03
ABINFRA,A B Infrabuild Limited,,EQ,NSE,Mainboard,2026-01-03
