Symbol,Name,ISIN,Exchange,Series,yfinance_symbol
A2ZINFRA,A2Z INFRA ENGINEERING LTD,INE619I01012,NSE,BE,A2ZINFRA.NS
AAATECH,AAA TECHNOLOGIES LIMITED,INE0D0U01013,NSE,BE,AAATECH.NS
AADHARHFC,AADHAR HOUSING FINANCE L,INE883F01010,NSE,BE,AADHARHFC.NS
AAKAAR,AAKAAR MEDICAL TECHNO LTD,INE1GYP01013,NSE,SM,AAKAAR.NS
AAKASH,AAKASH EXPLORATION SER L,INE087Z01016,NSE,SM,AAKASH.NS
AAKASH,AAKASH EXPLORATION SER L,INE087Z01024,NSE,BE,AAKASH.NS
AARADHYA,AARADHYA DISPOSAL INDUS L,INE124401014,NSE,SM,AARADHYA.NS
AAREYDRUGS,AAREY DRUGS & PHARM LTD,INE198H01019,NSE,BE,AAREYDRUGS.NS
AARON,AARON INDUSTRIES LIMITED,INE721Z01010,NSE,BE,AARON.NS
AARTECH,AARTECH SOLONICS LIMITED,INE01C001026,NSE,BE,AARTECH.NS
AARTIDRUGS,AARTI DRUGS  LTD.,INE767A01016,NSE,BE,AARTIDRUGS.NS
AARTIIND,AARTI INDUSTRIES LTD.,INE769A01020,NSE,BE,AARTIIND.NS
AARTIPHARM,AARTI PHARMALABS LIMITED,INE0LRU01027,NSE,BE,AARTIPHARM.NS
AARTISURF,AARTI SURFACTANTS LIMITED,INE09EO01013,NSE,BE,AARTISURF.NS
AARVEEDEN,AARVEE DEN. & EXP. LTD,INE273D01019,NSE,BE,AARVEEDEN.NS
AARVI,AARVI ENCON LIMITED,INE754X01016,NSE,BE,AARVI.NS
AATMAJ,AATMAJ HEALTHCARE LIMITED,INE0OB201016,NSE,SM,AATMAJ.NS
AAVAS,AAVAS FINANCIERS LIMITED,INE216P01012,NSE,BE,AAVAS.NS
ABAN,ABAN OFFSHORE LTD.,INE421A01028,NSE,BE,ABAN.NS
ABB,ABB INDIA LIMITED,INE117A01022,NSE,BE,ABB.NS
ABBOTINDIA,ABBOTT INDIA LIMITED,INE358A01014,NSE,BE,ABBOTINDIA.NS
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,INE674K01013,NSE,BE,ABCAPITAL.NS
ABCOTS,A B COTSPIN INDIA LIMITED,INE08PH01015,NSE,BE,ABCOTS.NS
ABDL,ALLIED BLEND N DISTILS L,INE552Z01027,NSE,BE,ABDL.NS
ABFRL,ADITYA BIRLA FASHION & RT,INE647O01011,NSE,BE,ABFRL.NS
ABGSEC,BIRLASLAMC - ABGSEC,INF209KC1134,NSE,EQ,ABGSEC.NS
ABHAPOWER,ABHA POWER N STEEL LTD,INE0UYG01015,NSE,SM,ABHAPOWER.NS
ABHISHEK,ABHISHEK CORPORATION LTD,INE004I01017,NSE,BE,ABHISHEK.NS
ABIN-RE1,A B INFRABUILD LTD,INE00YB20025,NSE,BE,ABIN-RE1.NS
ABINFRA,A B INFRABUILD LIMITED,INE00YB01017,NSE,BE,ABINFRA.NS
ABLBL,ADITYA BIRLA LIFES BRAN L,INE14LE01019,NSE,BE,ABLBL.NS
ABMINTLLTD,ABM INTERNATIONAL LTD,INE251C01025,NSE,BE,ABMINTLLTD.NS
ABMINTLTD,ABM INTERNATIONAL LTD,INE251C01017,NSE,BE,ABMINTLTD.NS
ABREL,ADITYA BIRLA REAL EST LTD,INE055A01016,NSE,BE,ABREL.NS
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,INE404A01024,NSE,BE,ABSLAMC.NS
ABSLBANETF,BIRLASLAMC - ABSLBANETF,INF209KB17D5,NSE,EQ,ABSLBANETF.NS
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,INF209KB18T9,NSE,EQ,ABSLLIQUID.NS
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,INF209KB16D7,NSE,EQ,ABSLNN50ET.NS
ABSLPSE,BIRLASLAMC-ABSLPSE,INF209KB19Z4,NSE,EQ,ABSLPSE.NS
ABSMARINE,ABS MARINE SERVICES LTD,INE0QRV01016,NSE,SM,ABSMARINE.NS
ACC,ACC LIMITED,INE012A01025,NSE,BE,ACC.NS
ACCELYA,ACCELYA SOLN INDIA LTD,INE793A01012,NSE,BE,ACCELYA.NS
ACCENTMIC,ACCENT MICROCELL LIMITED,INE0Q5D01013,NSE,SM,ACCENTMIC.NS
ACCORD,ACCORD SYNERGY LIMITED,INE113X01015,NSE,SM,ACCORD.NS
ACCPL,ACCRETION PHARMA LIMITED,INE0T8T01010,NSE,SM,ACCPL.NS
ACCURACY,ACCURACY SHIPPING LIMITED,INE648Z01015,NSE,SM,ACCURACY.NS
ACCURACY,ACCURACY SHIPPING LIMITED,INE648Z01023,NSE,BE,ACCURACY.NS
ACE,ACTION CONST EQUIP LTD,INE731H01025,NSE,BE,ACE.NS
ACEINTEG,ACE INTEGRATED SOLU. LTD.,INE543V01017,NSE,BE,ACEINTEG.NS
ACELAB,A C E LABORATORIES LTD,INE522901011,NSE,EQ,ACELAB.NS
ACI,ARCHEAN CHEMICAL IND LTD,INE128X01021,NSE,BE,ACI.NS
ACL,ANDHRA CEMENTS LIMITED,INE666E01020,NSE,BE,ACL.NS
ACLGATI,ALLCARGO GATI LIMITED,INE152B01027,NSE,BE,ACLGATI.NS
ACMESOLAR,ACME SOLAR HOLDINGS LTD,INE622W01025,NSE,BE,ACMESOLAR.NS
ACTIVEINFR,ACTIVE INFRASTRUCTURES L,INE0KLO01025,NSE,SM,ACTIVEINFR.NS
ACUTAAS,ACUTAAS CHEMICALS LIMITED,INE00FF01025,NSE,BE,ACUTAAS.NS
ADANIENSOL,ADANI ENERGY SOLUTION LTD,INE931S01010,NSE,BE,ADANIENSOL.NS
ADANIENT,ADANI ENTERPRISES LIMITED,INE423A01024,NSE,BE,ADANIENT.NS
ADANIGREEN,ADANI GREEN ENERGY LTD,INE364U01010,NSE,BE,ADANIGREEN.NS
ADANIPORTS,ADANI PORT & SEZ LTD,INE742F01042,NSE,BE,ADANIPORTS.NS
ADANIPOWER,ADANI POWER LTD,INE814H01029,NSE,BE,ADANIPOWER.NS
ADARSHCHEM,ADARSH CHEMICALS & FERT.,INE442501016,NSE,EQ,ADARSHCHEM.NS
ADFFOODS,ADF FOODS LIMITED,INE982B01027,NSE,BE,ADFFOODS.NS
ADHUNIK,ADHUNIK METALIKS LTD.,INE400H01019,NSE,BE,ADHUNIK.NS
ADITYASPIN,ADITYA SPINNERS LTD,INE442601014,NSE,EQ,ADITYASPIN.NS
ADL,ARCHIDPLY DECOR LIMITED,INE0CHO01012,NSE,BE,ADL.NS
ADOR,ADOR WELDING LTD,INE045A01017,NSE,BE,ADOR.NS
ADROITINFO,ADROIT INFOTECH LIMITED,INE737B01033,NSE,BE,ADROITINFO.NS
ADSL,ALLIED DIGITAL SERV. LTD,INE102I01027,NSE,BE,ADSL.NS
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,INE199C01026,NSE,BE,ADVANIHOTR.NS
ADVENZYMES,ADVANCED ENZYME TECH LTD,INE837H01020,NSE,BE,ADVENZYMES.NS
AEC,AEC (I) LTD.,INE441901019,NSE,EQ,AEC.NS
AEGISLOG,AEGIS LOGISTICS LIMITED,INE208C01025,NSE,BE,AEGISLOG.NS
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,INE0INX01018,NSE,BE,AEGISVOPAK.NS
AEROENTER,AEROFLEX ENTERPRISES LTD,INE065D01027,NSE,BE,AEROENTER.NS
AEROFLEX,AEROFLEX INDUSTRIES LTD,INE024001021,NSE,BE,AEROFLEX.NS
AERON,AERON COMPOSITE LIMITED,INE0WL801011,NSE,SM,AERON.NS
AERONEU,AEROFLEX NEU LIMITED,INE035801013,NSE,BE,AERONEU.NS
AESTHETIK,AESTHETIK ENGINEERS LTD,INE0TSF01011,NSE,SM,AESTHETIK.NS
AETHER,AETHER INDUSTRIES LIMITED,INE0BWX01014,NSE,BE,AETHER.NS
AFCONS,AFCONS INFRASTRUCTURE LTD,INE101I01011,NSE,BE,AFCONS.NS
AFFLE,AFFLE 3I LIMITED,INE00WC01027,NSE,BE,AFFLE.NS
AFFORDABLE,AFFORD ROBO & AUTO LTD,INE692Z01013,NSE,BE,AFFORDABLE.NS
AFIL,AKME FINTRADE (INDIA) LTD,INE916Y01027,NSE,BE,AFIL.NS
AFSL,ABANS FINANCIAL SRVCS LTD,INE00ZE01026,NSE,BE,AFSL.NS
AGARIND,AGARWAL INDS CORP LTD.,INE204E01012,NSE,BE,AGARIND.NS
AGARWALEYE,DR AGARWALS HEALTH CARE L,INE943P01029,NSE,BE,AGARWALEYE.NS
AGARWALFT,AGARWAL FLOAT GLASS I LTD,INE0MLA01012,NSE,SM,AGARWALFT.NS
AGARWALTUF,AGARWAL TOUGH GLASS IND L,INE0P8X01016,NSE,SM,AGARWALTUF.NS
AGI,AGI GREENPAC LIMITED,INE415A01038,NSE,BE,AGI.NS
AGIIL,AGI INFRA LIMITED,INE976R01025,NSE,BE,AGIIL.NS
AGNI,AGNI GREEN POWER LTD,INE0LF301013,NSE,SM,AGNI.NS
AGRIHATCH,AGRITECH HATCHERIED AND F,INE442901018,NSE,EQ,AGRIHATCH.NS
AGRITECH,AGRI-TECH (INDIA) LIMITED,INE449G01018,NSE,BE,AGRITECH.NS
AGROPHOS,AGRO PHOS INDIA LIMITED,INE740V01019,NSE,BE,AGROPHOS.NS
AGSTRA,AGS TRANSACT TECH LTD,INE583L01014,NSE,BE,AGSTRA.NS
AGUL,A G UNIVERSAL LIMITED,INE0O6N01012,NSE,SM,AGUL.NS
AHCL,ANLON HEALTHCARE LIMITED,INE0Y8W01017,NSE,BE,AHCL.NS
AHIMSA,AHIMSA INDUSTRIES LTD.,INE136T01014,NSE,SM,AHIMSA.NS
AHLADA,AHLADA ENGINEERS LIMITED,INE00PV01013,NSE,BE,AHLADA.NS
AHLEAST,ASIAN HOTELS (EAST) LTD,INE926K01017,NSE,BE,AHLEAST.NS
AHLUCONT,AHLUWALIA CONT IND LTD,INE758C01029,NSE,BE,AHLUCONT.NS
AHLWEST,ASIAN HOTELS (WEST) LTD,INE915K01010,NSE,BE,AHLWEST.NS
AIAENG,AIA ENGINEERING LIMITED,INE212H01026,NSE,BE,AIAENG.NS
AIFL,ASHAPURA INTI FASHION LTD,INE428O01016,NSE,BE,AIFL.NS
