Symbol,Name,ISIN,Exchange,Sector,Series
A2ZINFRA,A2Z INFRA ENGINEERING LTD,INE619I01012,NSE,Unknown,BE
AAATECH,AAA TECHNOLOGIES LIMITED,INE0D0U01013,NSE,Unknown,BE
AADHARHFC,AADHAR HOUSING FINANCE L,INE883F01010,NSE,Unknown,BE
AAKAAR,AAKAAR MEDICAL TECHNO LTD,INE1GYP01013,NSE,Unknown,SM
AAKASH,AAKASH EXPLORATION SER L,INE087Z01016,NSE,Unknown,SM
AAKASH,AAKASH EXPLORATION SER L,INE087Z01024,NSE,Unknown,BE
AARADHYA,AARADHYA DISPOSAL INDUS L,INE124401014,NSE,Unknown,SM
AARON,AARON INDUSTRIES LIMITED,INE721Z01010,NSE,Unknown,BE
AARTECH,AARTECH SOLONICS LIMITED,INE01C001026,NSE,Unknown,BE
AARTIDRUGS,AARTI DRUGS  LTD.,INE767A01016,NSE,Unknown,BE
AARTIIND,AARTI INDUSTRIES LTD.,INE769A01020,NSE,Unknown,BE
AARTIPHARM,AARTI PHARMALABS LIMITED,INE0LRU01027,NSE,Unknown,BE
AARTISURF,AARTI SURFACTANTS LIMITED,INE09EO01013,NSE,Unknown,BE
AARVEEDEN,AARVEE DEN. & EXP. LTD,INE273D01019,NSE,Unknown,BE
AARVI,AARVI ENCON LIMITED,INE754X01016,NSE,Unknown,BE
AATMAJ,AATMAJ HEALTHCARE LIMITED,INE0OB201016,NSE,Unknown,SM
AAVAS,AAVAS FINANCIERS LIMITED,INE216P01012,NSE,Unknown,BE
ABAN,ABAN OFFSHORE LTD.,INE421A01028,NSE,Unknown,BE
ABB,ABB INDIA LIMITED,INE117A01022,NSE,Unknown,BE
ABBOTINDIA,ABBOTT INDIA LIMITED,INE358A01014,NSE,Unknown,BE
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,INE674K01013,NSE,Unknown,BE
ABCOTS,A B COTSPIN INDIA LIMITED,INE08PH01015,NSE,Unknown,BE
ABDL,ALLIED BLEND N DISTILS L,INE552Z01027,NSE,Unknown,BE
ABFRL,ADITYA BIRLA FASHION & RT,INE647O01011,NSE,Unknown,BE
ABGSEC,BIRLASLAMC - ABGSEC,INF209KC1134,NSE,Unknown,EQ
ABHAPOWER,ABHA POWER N STEEL LTD,INE0UYG01015,NSE,Unknown,SM
ABHISHEK,ABHISHEK CORPORATION LTD,INE004I01017,NSE,Unknown,BE
ABINFRA,A B INFRABUILD LIMITED,INE00YB01017,NSE,Unknown,BE
ABLBL,ADITYA BIRLA LIFES BRAN L,INE14LE01019,NSE,Unknown,BE
ABMINTLLTD,ABM INTERNATIONAL LTD,INE251C01025,NSE,Unknown,BE
ABMINTLTD,ABM INTERNATIONAL LTD,INE251C01017,NSE,Unknown,BE
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,INE404A01024,NSE,Unknown,BE
ABSLBANETF,BIRLASLAMC - ABSLBANETF,INF209KB17D5,NSE,Unknown,EQ
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,INF209KB18T9,NSE,Unknown,EQ
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,INF209KB16D7,NSE,Unknown,EQ
ABSLPSE,BIRLASLAMC-ABSLPSE,INF209KB19Z4,NSE,Unknown,EQ
ABSMARINE,ABS MARINE SERVICES LTD,INE0QRV01016,NSE,Unknown,SM
ACC,ACC LIMITED,INE012A01025,NSE,Unknown,BE
ACCELYA,ACCELYA SOLN INDIA LTD,INE793A01012,NSE,Unknown,BE
ACCENTMIC,ACCENT MICROCELL LIMITED,INE0Q5D01013,NSE,Unknown,SM
ACCORD,ACCORD SYNERGY LIMITED,INE113X01015,NSE,Unknown,SM
ACCPL,ACCRETION PHARMA LIMITED,INE0T8T01010,NSE,Unknown,SM
ACCURACY,ACCURACY SHIPPING LIMITED,INE648Z01015,NSE,Unknown,SM
ACCURACY,ACCURACY SHIPPING LIMITED,INE648Z01023,NSE,Unknown,BE
ACE,ACTION CONST EQUIP LTD,INE731H01025,NSE,Unknown,BE
ACEINTEG,ACE INTEGRATED SOLU. LTD.,INE543V01017,NSE,Unknown,BE
ACELAB,A C E LABORATORIES LTD,INE522901011,NSE,Unknown,EQ
ACI,ARCHEAN CHEMICAL IND LTD,INE128X01021,NSE,Unknown,BE
ACL,ANDHRA CEMENTS LIMITED,INE666E01020,NSE,Unknown,BE
ACLGATI,ALLCARGO GATI LIMITED,INE152B01027,NSE,Unknown,BE
ACMESOLAR,ACME SOLAR HOLDINGS LTD,INE622W01025,NSE,Unknown,BE
ACTIVEINFR,ACTIVE INFRASTRUCTURES L,INE0KLO01025,NSE,Unknown,SM
ACUTAAS,ACUTAAS CHEMICALS LIMITED,INE00FF01025,NSE,Unknown,BE
ADANIENSOL,ADANI ENERGY SOLUTION LTD,INE931S01010,NSE,Unknown,BE
ADANIENT,ADANI ENTERPRISES LIMITED,INE423A01024,NSE,Unknown,BE
ADANIPORTS,ADANI PORT & SEZ LTD,INE742F01042,NSE,Unknown,BE
ADANIPOWER,ADANI POWER LTD,INE814H01029,NSE,Unknown,BE
ADARSHCHEM,ADARSH CHEMICALS & FERT.,INE442501016,NSE,Unknown,EQ
ADFFOODS,ADF FOODS LIMITED,INE982B01027,NSE,Unknown,BE
ADHUNIK,ADHUNIK METALIKS LTD.,INE400H01019,NSE,Unknown,BE
ADITYASPIN,ADITYA SPINNERS LTD,INE442601014,NSE,Unknown,EQ
ADL,ARCHIDPLY DECOR LIMITED,INE0CHO01012,NSE,Unknown,BE
ADOR,ADOR WELDING LTD,INE045A01017,NSE,Unknown,BE
ADROITINFO,ADROIT INFOTECH LIMITED,INE737B01033,NSE,Unknown,BE
ADSL,ALLIED DIGITAL SERV. LTD,INE102I01027,NSE,Unknown,BE
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,INE199C01026,NSE,Unknown,BE
ADVENZYMES,ADVANCED ENZYME TECH LTD,INE837H01020,NSE,Unknown,BE
AEC,AEC (I) LTD.,INE441901019,NSE,Unknown,EQ
AEGISLOG,AEGIS LOGISTICS LIMITED,INE208C01025,NSE,Unknown,BE
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,INE0INX01018,NSE,Unknown,BE
AEROENTER,AEROFLEX ENTERPRISES LTD,INE065D01027,NSE,Unknown,BE
AEROFLEX,AEROFLEX INDUSTRIES LTD,INE024001021,NSE,Unknown,BE
AERON,AERON COMPOSITE LIMITED,INE0WL801011,NSE,Unknown,SM
AERONEU,AEROFLEX NEU LIMITED,INE035801013,NSE,Unknown,BE
AESTHETIK,AESTHETIK ENGINEERS LTD,INE0TSF01011,NSE,Unknown,SM
AETHER,AETHER INDUSTRIES LIMITED,INE0BWX01014,NSE,Unknown,BE
AFCONS,AFCONS INFRASTRUCTURE LTD,INE101I01011,NSE,Unknown,BE
AFFLE,AFFLE 3I LIMITED,INE00WC01027,NSE,Unknown,BE
AFFORDABLE,AFFORD ROBO & AUTO LTD,INE692Z01013,NSE,Unknown,BE
AFIL,AKME FINTRADE (INDIA) LTD,INE916Y01027,NSE,Unknown,BE
AFSL,ABANS FINANCIAL SRVCS LTD,INE00ZE01026,NSE,Unknown,BE
AGARIND,AGARWAL INDS CORP LTD.,INE204E01012,NSE,Unknown,BE
AGARWALEYE,DR AGARWALS HEALTH CARE L,INE943P01029,NSE,Unknown,BE
AGARWALFT,AGARWAL FLOAT GLASS I LTD,INE0MLA01012,NSE,Unknown,SM
AGARWALTUF,AGARWAL TOUGH GLASS IND L,INE0P8X01016,NSE,Unknown,SM
AGI,AGI GREENPAC LIMITED,INE415A01038,NSE,Unknown,BE
AGIIL,AGI INFRA LIMITED,INE976R01025,NSE,Unknown,BE
AGNI,AGNI GREEN POWER LTD,INE0LF301013,NSE,Unknown,SM
AGRIHATCH,AGRITECH HATCHERIED AND F,INE442901018,NSE,Unknown,EQ
AGRITECH,AGRI-TECH (INDIA) LIMITED,INE449G01018,NSE,Unknown,BE
AGROPHOS,AGRO PHOS INDIA LIMITED,INE740V01019,NSE,Unknown,BE
AGSTRA,AGS TRANSACT TECH LTD,INE583L01014,NSE,Unknown,BE
AGUL,A G UNIVERSAL LIMITED,INE0O6N01012,NSE,Unknown,SM
AHCL,ANLON HEALTHCARE LIMITED,INE0Y8W01017,NSE,Unknown,BE
AHIMSA,AHIMSA INDUSTRIES LTD.,INE136T01014,NSE,Unknown,SM
AHLADA,AHLADA ENGINEERS LIMITED,INE00PV01013,NSE,Unknown,BE
AHLEAST,ASIAN HOTELS (EAST) LTD,INE926K01017,NSE,Unknown,BE
AHLUCONT,AHLUWALIA CONT IND LTD,INE758C01029,NSE,Unknown,BE
AHLWEST,ASIAN HOTELS (WEST) LTD,INE915K01010,NSE,Unknown,BE
AIAENG,AIA ENGINEERING LIMITED,INE212H01026,NSE,Unknown,BE
AIFL,ASHAPURA INTI FASHION LTD,INE428O01016,NSE,Unknown,BE
AIIL,AUTHUM INVEST & INFRA LTD,INE206F01022,NSE,Unknown,BE
AILIMITED,ABHISHEK INTEGRATIONS LTD,INE0CAJ01017,NSE,Unknown,SM
AIMCOPEST,AIMCO PESTICIDES-DEPO,INE008B01013,NSE,Unknown,BE
AIMTRON,AIMTRON ELECTRONICS LTD,INE0RUV01018,NSE,Unknown,SM
AIRAN,AIRAN LIMITED,INE645W01026,NSE,Unknown,BE
AIROLAM,AIRO LAM LIMITED,INE801L01010,NSE,Unknown,BE
AISL,ANI INTEGRATED SERV LTD.,INE635Y01015,NSE,Unknown,SM
AJANTPHARM,AJANTPHARM LTD,INE031B01049,NSE,Unknown,BE
AJAXENGG,AJAX ENGINEERING LIMITED,INE274Y01021,NSE,Unknown,BE
AJMERA,AJMERA REALTY & INF I LTD,INE298G01027,NSE,Unknown,BE
AJOONI,AJOONI BIOTECH LIMITED,INE820Y01013,NSE,Unknown,SM
AJOONI,AJOONI BIOTECH LIMITED,INE820Y01021,NSE,Unknown,BE
AJRINFRA,AJR INFRA & TOLLING LTD,INE181G01025,NSE,Unknown,BE
AKAIMPEX,AKAI IMPEX LTD.,INE443401018,NSE,Unknown,EQ
AKANKSHA,AKANKSHA POWER N INFRA L,INE0PCY01014,NSE,Unknown,SM
AKARLAMIN,AKAR LAMINATORS LTD,INE984C01013,NSE,Unknown,EQ
AKARLAMIN,AKAR LAMINATORS LTD,INE443501015,NSE,Unknown,BE
AKASH,AKASH INFRA-PROJECTS LTD,INE737W01013,NSE,Unknown,BE
AKG,AKG EXIM LIMITED,INE00Y801016,NSE,Unknown,BE
AKGACOUST,AKG ACOUSTICS (I) LTD.,INE442001017,NSE,Unknown,EQ
AKI,AKI INDIA LIMITED,INE642Z01026,NSE,Unknown,BE
AKIKO,AKIKO GLOBAL SERVICES L,INE0PMR01017,NSE,Unknown,SM
AKSHAR,AKSHAR SPINTEX LIMITED,INE256Z01025,NSE,Unknown,BE
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,INE542B01011,NSE,Unknown,BE
AKSHOPTFBR,AKSH OPTIFIBRE  LTD,INE523B01011,NSE,Unknown,BE
AKUMS,AKUMS DRUGS AND PHARMA L,INE09XN01023,NSE,Unknown,BE
AKZOINDIA,AKZO NOBEL INDIA LIMITED,INE133A01011,NSE,Unknown,BE
ALANKIT,ALANKIT LIMITED,INE914E01040,NSE,Unknown,BE
ALBERTDAVD,ALBERT DAVID LIMITED,INE155C01010,NSE,Unknown,BE
ALBRMORARJ,ALBRIGHT&WILSON CHE LTD.,INE255B01010,NSE,Unknown,BE
ALCHEM,ALCHEMIST LTD,INE964B01033,NSE,Unknown,BE
ALEMBICLTD,ALEMBIC LIMITED,INE426A01027,NSE,Unknown,BE
ALICON,ALICON CASTALLOY LIMITED,INE062D01024,NSE,Unknown,BE
ALIVUS,ALIVUS LIFE SCIENCES LTD,INE03Q201024,NSE,Unknown,BE
ALKALI,ALKALI METALS LTD,INE773I01017,NSE,Unknown,BE
ALKEM,ALKEM LABORATORIES LTD.,INE540L01014,NSE,Unknown,BE
ALKYLAMINE,ALKYL AMINES CHEM. LTD,INE150B01039,NSE,Unknown,BE
ALLCARGO,ALLCARGO LOGISTICS LTD,INE418H01029,NSE,Unknown,BE
ALLDIGI,ALLDIGI TECH LIMITED,INE835G01018,NSE,Unknown,BE
ALLETEC,ALL E TECHNOLOGIES LTD,INE0M2X01012,NSE,Unknown,SM
ALLTIME,ALL TIME PLASTICS LIMITED,INE0GV601021,NSE,Unknown,BE
ALMONDZ,ALMONDZ GLOBAL SEC LTD,INE326B01035,NSE,Unknown,BE
ALOKINDS,ALOK INDUSTRIES LIMITED,INE270A01029,NSE,Unknown,BE
ALOKINDS,ALOK INDUSTRIES LTD,INE270A01011,NSE,Unknown,BE
ALPA,ALPA LABORATORIES LTD,INE385I01010,NSE,Unknown,BE
ALPEXSOLAR,ALPEX SOLAR LIMITED,INE0R4701017,NSE,Unknown,SM
ALPHA,KOTAKMAMC - KOTAKALPHA,INF174KA1IA5,NSE,Unknown,EQ
ALPHADRUG,ALPHA DRUG INDIA LTD-DEPO,INE256B01018,NSE,Unknown,BE
ALPHADRUG,ALPHA DRUG (I) LTD,INE444101013,NSE,Unknown,EQ
ALPHAETF,MIRAEAMC - ALPHAETF,INF769K01KU7,NSE,Unknown,EQ
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,INE137C01018,NSE,Unknown,BE
ALPINEIND,ALPINE INDUSTRIES LTD,INE444301019,NSE,Unknown,EQ
ALPL30IETF,ICICIPRAMC - ICICIALPLV,INF109KC17V7,NSE,Unknown,EQ
ALPSINDUS,ALPS INDUSTRIES LTD.,INE093B01015,NSE,Unknown,BE
ALSAMARINE,ALSA MARINE AND HARVESTS,INE444501014,NSE,Unknown,EQ
ALTOS,ALTOS (I) LTD,INE490401010,NSE,Unknown,EQ
ALUWIND,ALUWIND INFRA-TECH LTD,INE0STM01017,NSE,Unknown,SM
AMANTA,AMANTA HEALTHCARE LIMITED,INE084K01015,NSE,Unknown,BE
AMARDYCHEM,AMAR DYECHEM LTD.,INE444701010,NSE,Unknown,EQ
AMBANIORGO,AMBANI ORGOCHEM LIMITED,INE00C501018,NSE,Unknown,SM
AMBASARABH,AMBALAL SARABHAI  ENTER,INE432A01017,NSE,Unknown,BE
AMBER,AMBER ENTERPRISES (I) LTD,INE371P01015,NSE,Unknown,BE
AMBEY,AMBEY LABORATORIES LTD,INE0M3I01029,NSE,Unknown,SM
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,INE792B01012,NSE,Unknown,BE
AMBIKCO,AMBIKA COTTON MILL LTD.,INE540G01014,NSE,Unknown,BE
AMBUJACEM,AMBUJA CEMENTS LTD,INE079A01024,NSE,Unknown,BE
AMBUJACEM,AMBUJA ELECTROCASTING LTD,INE445001014,NSE,Unknown,EQ
AMCL,ANB METAL CAST LIMITED,INE0VG001016,NSE,Unknown,SM
AMDIND,AMD INDUSTRIES LIMITED,INE005I01014,NSE,Unknown,BE
AMEYA,AMEYA PRECISION ENG LTD,INE0KT901015,NSE,Unknown,SM
AMFORGEIND,AMFORGE INDS LTD DEPO,INE991A01012,NSE,Unknown,BE
AMIABLE,AMIABLE LOGISTICS (I) LTD,INE0MTP01013,NSE,Unknown,SM
AMJLAND,AMJ LAND HOLDINGS LIMITED,INE606A01024,NSE,Unknown,BE
AMJUMBO,A AND M JUMBO BAGS LTD,INE749Y01014,NSE,Unknown,SM
AMNPLST,AMINES & PLASTICIZERS LTD,INE275D01022,NSE,Unknown,BE
AMRUTANJAN,AMRUTAJAN HEALTH LTD,INE098F01031,NSE,Unknown,BE
AMRUTIND,AMRUT INDUSTRIES LTD,INE389801015,NSE,Unknown,EQ
AMTEKAUTO,AMTEL AUTO LTD,INE130C01021,NSE,Unknown,BE
ANANDRATHI,ANAND RATHI WEALTH LTD,INE463V01026,NSE,Unknown,BE
ANANTRAJ,ANANT RAJ LIMITED,INE242C01024,NSE,Unknown,BE
ANDHRACEMT,ANDHRA CEMENTS LIMITED,INE666E01012,NSE,Unknown,BE
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,NSE,Unknown,BE
